wave_number,fsc_nomask,fsc_loosemask,fsc_tightmask,fsc_noisesub_raw,fsc_noisesub_true,fsc_noisesub
0.5,1,1,1,1,nan,1
1.5,0.999979,1,1,1,-1,1
2.5,0.999886,0.999999,1,1,-1.5,1
3.5,0.999945,0.999994,0.999999,0.999999,-0.25,0.999999
4.5,0.999826,0.999988,0.999998,0.999998,-0.225806,0.999998
5.5,0.999454,0.999975,0.999997,0.999997,0.021739,0.999997
6.5,0.999712,0.999961,0.999996,0.999996,-0.078125,0.999996
7.5,0.999124,0.999955,0.999993,0.999994,-0.176471,0.999993
8.5,0.99961,0.999938,0.99999,0.999991,-0.213793,0.99999
9.5,0.998893,0.99993,0.999986,0.999988,-0.141463,0.999986
10.5,0.999024,0.999928,0.999984,0.999984,-0.003636,0.999984
11.5,0.999085,0.999905,0.999982,0.999982,-0.009836,0.999982
12.5,0.998128,0.999896,0.999981,0.999981,-0.018809,0.999981
13.5,0.998649,0.999886,0.999979,0.999979,0.019718,0.999979
14.5,0.998188,0.999868,0.999978,0.99998,-0.08982,0.999978
15.5,0.998027,0.999851,0.999977,0.999978,-0.062331,0.999977
16.5,0.997794,0.999825,0.999973,0.999973,-0.013423,0.999973
17.5,0.997296,0.999772,0.999965,0.999965,-0.001706,0.999965
18.5,0.997068,0.999755,0.999957,0.99996,-0.074405,0.999957
19.5,0.996235,0.999727,0.999947,0.99995,-0.064209,0.999947
20.5,0.995095,0.999655,0.999934,0.999935,-0.008242,0.999934
21.5,0.992922,0.999543,0.999921,0.999922,-0.008397,0.999921
22.5,0.991183,0.999471,0.999909,0.999911,-0.031586,0.999909
23.5,0.988789,0.999328,0.999892,0.999897,-0.049048,0.999892
24.5,0.984823,0.999156,0.999869,0.999871,-0.013352,0.999869
25.5,0.98287,0.998954,0.999841,0.999844,-0.021049,0.999841
26.5,0.977128,0.99873,0.999815,0.999816,-0.004859,0.999815
27.5,0.971968,0.998407,0.99977,0.999776,-0.029059,0.99977
28.5,0.96722,0.998119,0.999734,0.999739,-0.019384,0.999734
29.5,0.96239,0.997955,0.999685,0.999696,-0.035294,0.999685
30.5,0.959587,0.997699,0.999644,0.999651,-0.019956,0.999644
31.5,0.952063,0.997429,0.999615,0.999614,0.002935,0.999615
32.5,0.945674,0.997195,0.999579,0.999587,-0.019633,0.999579
33.5,0.94715,0.997046,0.99954,0.999554,-0.032094,0.99954
34.5,0.943362,0.996867,0.999494,0.999518,-0.048591,0.999494
35.5,0.941371,0.996743,0.999478,0.999502,-0.046634,0.999478
36.5,0.939477,0.996565,0.999468,0.999489,-0.040121,0.999468
37.5,0.932561,0.996383,0.99945,0.999467,-0.032428,0.99945
38.5,0.927105,0.996089,0.999409,0.999428,-0.032083,0.999409
39.5,0.914964,0.995467,0.999376,0.999392,-0.026081,0.999376
40.5,0.903733,0.994975,0.999346,0.999358,-0.017632,0.999346
41.5,0.906974,0.994864,0.999319,0.999333,-0.020102,0.999319
42.5,0.904073,0.994677,0.999234,0.999248,-0.018235,0.999234
43.5,0.893338,0.994134,0.999135,0.999146,-0.012914,0.999135
44.5,0.876225,0.993269,0.999055,0.999056,-0.001642,0.999055
45.5,0.852262,0.992439,0.998923,0.998929,-0.006458,0.998923
46.5,0.839782,0.992038,0.998777,0.998793,-0.013832,0.998777
47.5,0.818487,0.991077,0.998581,0.9986,-0.013794,0.998581
48.5,0.787827,0.989478,0.998364,0.998393,-0.017915,0.998364
49.5,0.768186,0.987647,0.998067,0.998092,-0.012994,0.998067
50.5,0.751962,0.986214,0.997658,0.997701,-0.018585,0.997658
51.5,0.722453,0.984686,0.997291,0.997354,-0.024061,0.997291
52.5,0.685996,0.981842,0.996811,0.996866,-0.017498,0.996811
53.5,0.639526,0.978362,0.99622,0.99627,-0.013536,0.99622
54.5,0.604557,0.975695,0.995641,0.995704,-0.01465,0.995641
55.5,0.584939,0.973803,0.995175,0.995283,-0.022985,0.995175
56.5,0.564403,0.971797,0.994857,0.994977,-0.023984,0.994857
57.5,0.566001,0.969839,0.994581,0.994713,-0.024948,0.994581
58.5,0.55993,0.968046,0.994249,0.994427,-0.031924,0.994249
59.5,0.539526,0.967236,0.993924,0.994128,-0.034682,0.993924
60.5,0.520449,0.966475,0.993553,0.993795,-0.039108,0.993553
61.5,0.520979,0.965597,0.993243,0.993562,-0.049454,0.993243
62.5,0.519622,0.964914,0.992961,0.993337,-0.056411,0.992961
63.5,0.511537,0.964429,0.992744,0.993084,-0.049161,0.992744
64.5,0.511717,0.963648,0.992465,0.992746,-0.038827,0.992465
65.5,0.489375,0.962079,0.991997,0.992235,-0.03066,0.991997
66.5,0.466373,0.960075,0.991411,0.991589,-0.021188,0.991411
67.5,0.458815,0.958271,0.99072,0.990805,-0.009302,0.99072
68.5,0.454781,0.95613,0.990188,0.990217,-0.002967,0.990188
69.5,0.435357,0.953462,0.989739,0.989775,-0.003515,0.989739
70.5,0.415027,0.949717,0.98905,0.989113,-0.005765,0.98905
71.5,0.387464,0.945129,0.988288,0.988315,-0.002387,0.988288
72.5,0.369845,0.93972,0.987049,0.987151,-0.007914,0.987049
73.5,0.354883,0.9351,0.985881,0.986092,-0.015137,0.985881
74.5,0.335977,0.931619,0.98466,0.984944,-0.01882,0.98466
75.5,0.323737,0.929538,0.983561,0.983885,-0.020054,0.983561
76.5,0.309175,0.925352,0.982645,0.982985,-0.02001,0.982645
77.5,0.30109,0.920403,0.981598,0.98204,-0.024609,0.981598
78.5,0.287619,0.915595,0.980221,0.980779,-0.029041,0.980221
79.5,0.274908,0.913542,0.979227,0.979943,-0.03569,0.979227
80.5,0.256869,0.910126,0.978256,0.979129,-0.041862,0.978256
81.5,0.256083,0.90549,0.977445,0.978161,-0.032753,0.977445
82.5,0.24535,0.899897,0.976546,0.977104,-0.024377,0.976546
83.5,0.247591,0.898148,0.975731,0.976375,-0.027278,0.975731
84.5,0.240081,0.898054,0.974882,0.975599,-0.029386,0.974882
85.5,0.228604,0.896166,0.974007,0.974443,-0.017079,0.974007
86.5,0.231161,0.89203,0.972957,0.973065,-0.004005,0.972957
87.5,0.220877,0.888225,0.972278,0.972162,0.004186,0.972278
88.5,0.215885,0.883077,0.97143,0.971064,0.012643,0.97143
89.5,0.198149,0.877457,0.9703,0.969554,0.024503,0.9703
90.5,0.185272,0.872569,0.969125,0.967958,0.036437,0.969125
91.5,0.19008,0.87015,0.967573,0.966484,0.032486,0.967573
92.5,0.192937,0.867183,0.965784,0.964932,0.024297,0.965784
93.5,0.187708,0.863027,0.964199,0.9632,0.027128,0.964199
94.5,0.181924,0.856581,0.962784,0.960939,0.047229,0.962784
95.5,0.164932,0.850968,0.961317,0.958216,0.074199,0.961317
96.5,0.163219,0.847215,0.959908,0.955166,0.105776,0.959908
97.5,0.1618,0.841654,0.957644,0.949747,0.157153,0.957644
98.5,0.153091,0.833695,0.955309,0.941206,0.239871,0.955309
99.5,0.142308,0.825358,0.952382,0.926473,0.352373,0.952382
100.5,0.136714,0.816325,0.949226,0.902534,0.479062,0.949226
101.5,0.136529,0.810281,0.946401,0.866672,0.597992,0.597992
102.5,0.126482,0.806387,0.944272,0.820821,0.688983,0.688983
103.5,0.124823,0.797485,0.941764,0.767318,0.74972,0.74972
104.5,0.123218,0.788626,0.939603,0.713608,0.789111,0.789111
105.5,0.113346,0.778634,0.936598,0.658135,0.814542,0.814542
106.5,0.109614,0.770018,0.933979,0.599263,0.835252,0.835252
107.5,0.101711,0.761627,0.931452,0.543656,0.849788,0.849788
108.5,0.096063,0.75545,0.928238,0.483672,0.861015,0.861015
109.5,0.097119,0.744757,0.924547,0.421914,0.869479,0.869479
110.5,0.092931,0.731938,0.92067,0.36603,0.874867,0.874867
111.5,0.077279,0.719045,0.916691,0.325021,0.876575,0.876575
112.5,0.081689,0.710782,0.912943,0.297095,0.876147,0.876147
113.5,0.076229,0.698547,0.908165,0.283931,0.871752,0.871752
114.5,0.073624,0.684253,0.902217,0.269612,0.866122,0.866122
115.5,0.068244,0.675607,0.897707,0.254189,0.862843,0.862843
116.5,0.071006,0.668609,0.893971,0.238338,0.860792,0.860792
117.5,0.063181,0.662876,0.892403,0.226189,0.860952,0.860952
118.5,0.060207,0.652662,0.889269,0.213302,0.859246,0.859246
119.5,0.061487,0.645228,0.88397,0.200992,0.854783,0.854783
120.5,0.055665,0.633396,0.87751,0.189239,0.84892,0.84892
121.5,0.053372,0.622591,0.87142,0.173106,0.844503,0.844503
