wave_number,fsc_nomask,fsc_loosemask,fsc_tightmask,fsc_noisesub_raw,fsc_noisesub_true,fsc_noisesub
211.5,0.00753,0.335421,0.715255,-0.003732,0.716314,0.716314
212.5,0.004827,0.304888,0.694425,0.002734,0.693587,0.693587
213.5,0.003487,0.270357,0.668473,0.008663,0.665576,0.665576
214.5,0.002961,0.242302,0.638813,0.013944,0.633705,0.633705
215.5,0.001557,0.218367,0.605393,0.014577,0.599555,0.599555
216.5,0.00357,0.194178,0.570687,0.010097,0.566308,0.566308
217.5,0.004122,0.166532,0.533106,0.004354,0.531064,0.531064
218.5,0.001061,0.136659,0.49464,-0.000106,0.494694,0.494694
219.5,0.002663,0.107671,0.452623,0.000339,0.452438,0.452438
220.5,0.001649,0.079471,0.412355,0.004923,0.409448,0.409448
221.5,0.002404,0.055502,0.373193,0.008035,0.368116,0.368116
222.5,0.00019,0.036031,0.339247,0.011674,0.331442,0.331442
223.5,0.002101,0.027653,0.310332,0.010584,0.302955,0.302955
224.5,0.001286,0.026587,0.286314,0.0123,0.277426,0.277426
225.5,-0.000629,0.028623,0.264685,0.012288,0.255537,0.255537
226.5,0.000971,0.02994,0.245248,0.013504,0.234916,0.234916
227.5,0.000541,0.028875,0.229126,0.012197,0.219608,0.219608
228.5,-0.00106,0.024099,0.212215,0.011133,0.203346,0.203346
229.5,0.000405,0.019015,0.196721,0.010104,0.188522,0.188522
230.5,0.002361,0.017104,0.183016,0.011485,0.173524,0.173524
231.5,-0.001316,0.017254,0.168884,0.014903,0.15631,0.15631
232.5,-0.000772,0.017104,0.153599,0.0148,0.140884,0.140884
233.5,0.001257,0.018915,0.142463,0.009934,0.133859,0.133859
234.5,0.000713,0.018327,0.133239,0.005545,0.128406,0.128406
235.5,-0.001982,0.016954,0.12727,0.002925,0.124709,0.124709
236.5,0.000075,0.013827,0.120308,0.003214,0.117471,0.117471
237.5,0.001303,0.007708,0.115025,0.007207,0.1086,0.1086
238.5,-0.000006,0.004318,0.107808,0.010138,0.098671,0.098671
239.5,-0.000413,0.004838,0.098624,0.011788,0.087872,0.087872
240.5,0.000234,0.004215,0.088362,0.013144,0.076219,0.076219
241.5,-0.001557,0.005231,0.080026,0.013949,0.067012,0.067012
242.5,-0.001784,0.007327,0.073554,0.014742,0.059692,0.059692
243.5,-0.000383,0.009124,0.069152,0.01611,0.053911,0.053911
244.5,-0.001114,0.00792,0.066324,0.015852,0.051284,0.051284
245.5,0.000792,0.00698,0.064106,0.017155,0.04777,0.04777
246.5,-0.000145,0.006825,0.061534,0.018221,0.044116,0.044116
247.5,-0.000846,0.006256,0.060092,0.020104,0.040809,0.040809
