wave_number,fsc_nomask,fsc_loosemask,fsc_tightmask,fsc_noisesub_raw,fsc_noisesub_true,fsc_noisesub
0.5,1,1,1,1,nan,1
1.5,0.999976,0.999999,1,1,1,1
2.5,0.999879,0.999997,1,1,-1.5,1
3.5,0.999858,0.999993,0.999999,0.999999,0.076923,0.999999
4.5,0.999634,0.999983,0.999998,0.999998,-0.214286,0.999998
5.5,0.999451,0.999977,0.999996,0.999996,0,0.999996
6.5,0.998517,0.999939,0.99999,0.999991,-0.081081,0.99999
7.5,0.998292,0.999906,0.999987,0.999987,0.018692,0.999987
8.5,0.998222,0.99992,0.99998,0.99998,0.011905,0.99998
9.5,0.997738,0.999876,0.999968,0.99997,-0.039293,0.999968
10.5,0.996047,0.999749,0.999945,0.99995,-0.099282,0.999945
11.5,0.995974,0.999641,0.999925,0.999928,-0.046589,0.999925
12.5,0.996212,0.99971,0.999939,0.99994,-0.024876,0.999939
13.5,0.996068,0.999718,0.999945,0.999944,0.004283,0.999945
14.5,0.993439,0.999532,0.999936,0.999934,0.017273,0.999936
15.5,0.987154,0.999177,0.999895,0.999895,-0.00114,0.999895
16.5,0.977133,0.998529,0.999807,0.999811,-0.020177,0.999807
17.5,0.969529,0.997826,0.99974,0.999743,-0.010882,0.99974
18.5,0.969123,0.997604,0.999709,0.999711,-0.007013,0.999709
19.5,0.970102,0.997159,0.999687,0.999685,0.005868,0.999687
20.5,0.971168,0.997146,0.99967,0.999673,-0.00801,0.99967
21.5,0.965726,0.99711,0.999587,0.999592,-0.012555,0.999587
22.5,0.962641,0.996857,0.99948,0.999482,-0.003912,0.99948
23.5,0.956497,0.995888,0.999343,0.999347,-0.005018,0.999343
24.5,0.954185,0.99554,0.999254,0.999251,0.004059,0.999254
25.5,0.950881,0.995354,0.999247,0.999238,0.01142,0.999247
26.5,0.954509,0.995354,0.999309,0.999301,0.011253,0.999309
27.5,0.953381,0.995287,0.999346,0.999344,0.003813,0.999346
28.5,0.951272,0.995175,0.999281,0.999283,-0.004076,0.999281
29.5,0.94202,0.994104,0.999076,0.999088,-0.013927,0.999076
30.5,0.932218,0.99306,0.998771,0.998786,-0.012523,0.998771
31.5,0.92053,0.991084,0.998326,0.998345,-0.011635,0.998326
32.5,0.902332,0.987518,0.997692,0.997719,-0.011942,0.997692
33.5,0.875993,0.984672,0.997103,0.997111,-0.002599,0.997103
34.5,0.849545,0.98185,0.996252,0.996241,0.002728,0.996252
35.5,0.818379,0.977492,0.995116,0.995106,0.002034,0.995116
36.5,0.802582,0.971691,0.994028,0.994005,0.003758,0.994028
37.5,0.776111,0.969936,0.993661,0.993632,0.004549,0.993661
38.5,0.771355,0.970606,0.993378,0.993357,0.003239,0.993378
39.5,0.780964,0.969691,0.992909,0.99286,0.00682,0.992909
40.5,0.790694,0.970094,0.992327,0.992294,0.004308,0.992327
41.5,0.798841,0.970047,0.991849,0.991842,0.000869,0.991849
42.5,0.793044,0.968874,0.991566,0.991568,-0.000233,0.991566
43.5,0.801654,0.967933,0.991458,0.991461,-0.000398,0.991458
44.5,0.803187,0.967715,0.991155,0.991138,0.001957,0.991155
45.5,0.791208,0.9664,0.99017,0.990167,0.000339,0.99017
46.5,0.785554,0.965126,0.989488,0.989526,-0.003574,0.989488
47.5,0.777784,0.964171,0.989175,0.989256,-0.007551,0.989175
48.5,0.754197,0.959737,0.98797,0.988088,-0.009948,0.98797
49.5,0.719267,0.951774,0.985498,0.985644,-0.010159,0.985498
50.5,0.698944,0.941816,0.982771,0.98292,-0.008714,0.982771
51.5,0.67601,0.933571,0.980122,0.980254,-0.006707,0.980122
52.5,0.677459,0.932303,0.978352,0.978478,-0.00586,0.978352
53.5,0.66229,0.929992,0.97729,0.977448,-0.006988,0.97729
54.5,0.652113,0.925497,0.976449,0.976723,-0.011777,0.976449
55.5,0.661766,0.925474,0.976839,0.977112,-0.01193,0.976839
56.5,0.678443,0.929472,0.977571,0.977805,-0.010562,0.977571
57.5,0.68779,0.933841,0.978489,0.978627,-0.006467,0.978489
58.5,0.691416,0.933992,0.977977,0.978028,-0.002295,0.977977
59.5,0.699121,0.930839,0.975763,0.975814,-0.002122,0.975763
60.5,0.695204,0.929088,0.97379,0.973864,-0.002851,0.97379
61.5,0.698,0.927395,0.973323,0.97339,-0.002515,0.973323
