wave_number,fsc_nomask,fsc_loosemask,fsc_tightmask,fsc_noisesub_raw,fsc_noisesub_true,fsc_noisesub
0.5,1,1,1,1,nan,1
1.5,0.999987,0.999999,1,1,0,1
2.5,0.999284,0.999997,1,1,inf,1
3.5,0.999929,0.999992,1,1,1.5,1
4.5,0.999704,0.999985,1,1,-0.75,1
5.5,0.999799,0.999974,0.999999,0.999999,-0.105263,0.999999
6.5,0.999681,0.999965,0.999996,0.999996,-0.1,0.999996
7.5,0.999681,0.999957,0.999992,0.999993,-0.066116,0.999992
8.5,0.999601,0.999945,0.999988,0.999988,-0.019802,0.999988
9.5,0.999302,0.999937,0.999984,0.999985,-0.050388,0.999984
10.5,0.999322,0.999924,0.99998,0.99998,-0.03012,0.99998
11.5,0.999282,0.999914,0.999978,0.999978,0.021505,0.999978
12.5,0.998932,0.999897,0.999974,0.999974,-0.020737,0.999974
13.5,0.998831,0.999878,0.99997,0.99997,0.023669,0.99997
14.5,0.998649,0.999857,0.999966,0.999967,-0.024911,0.999966
15.5,0.998096,0.999833,0.999964,0.999965,-0.015203,0.999964
16.5,0.997891,0.999815,0.999965,0.999966,-0.033569,0.999965
17.5,0.998147,0.999815,0.999967,0.999964,0.077303,0.999967
18.5,0.99748,0.999836,0.999963,0.999965,-0.049404,0.999963
19.5,0.997284,0.999837,0.999961,0.999964,-0.067434,0.999961
20.5,0.997108,0.999825,0.99996,0.999959,0.013196,0.99996
21.5,0.997059,0.999811,0.999955,0.999955,0.010582,0.999955
22.5,0.996003,0.999788,0.999947,0.999948,-0.021789,0.999947
23.5,0.995817,0.999767,0.999941,0.999942,-0.011329,0.999941
24.5,0.994616,0.999756,0.999938,0.999937,0.017874,0.999938
25.5,0.994702,0.999752,0.999932,0.999932,-0.003509,0.999932
26.5,0.994118,0.999734,0.999925,0.999928,-0.036394,0.999925
27.5,0.991567,0.999702,0.999917,0.999919,-0.033973,0.999917
28.5,0.987749,0.999663,0.999906,0.99991,-0.040291,0.999906
29.5,0.987982,0.999587,0.999894,0.999895,-0.003399,0.999894
30.5,0.983451,0.99951,0.99988,0.999878,0.017604,0.99988
31.5,0.980023,0.999396,0.999864,0.999859,0.036818,0.999864
32.5,0.973529,0.999249,0.999844,0.999836,0.047896,0.999844
33.5,0.967161,0.999047,0.99981,0.999806,0.019042,0.99981
34.5,0.961825,0.998884,0.999785,0.999777,0.038215,0.999785
35.5,0.95535,0.998737,0.999755,0.999752,0.012713,0.999755
