,Time corrected area,Area,Aligned Migration Time [s],Peak Height,Peak Width
,34.5,7.7,22.50,21.1,1.0
,2.3,0.6,24.46,0.5,1.8
,0.8,0.2,27.08,0.3,0.9
,43.6,12.4,28.69,31.3,2.0
,0.8,0.2,30.35,0.5,0.6
,0.7,0.2,31.31,0.5,0.6
,1.2,0.4,32.21,0.6,0.7
,61.3,20.0,32.87,37.3,1.7
,1.1,0.4,34.28,0.9,0.5
,3.7,1.3,36.59,1.1,1.5
,1.9,0.7,37.35,1.3,0.6
,45.3,17.0,37.90,39.9,1.5
,2.3,0.9,39.46,1.3,0.8
,3.5,1.4,40.87,1.4,1.1
,49.0,21.4,43.89,20.8,3.1
,2.9,1.3,46.36,1.7,0.9
,3.5,1.7,47.57,1.9,1.0
,2.0,0.9,48.37,2.0,0.5
,1.4,0.7,48.88,2.0,0.4
,3.4,1.7,49.73,2.3,0.8
,54.4,28.1,52.05,14.9,4.0
,0.8,0.5,54.21,1.4,0.4
,1.6,0.9,55.02,1.4,0.7
,51.3,29.9,58.74,10.2,6.8
,0.5,0.3,63.72,0.7,0.6
,0.4,0.3,64.38,0.4,0.7
,0.6,0.4,65.74,0.5,1.0
,0.3,0.2,67.90,0.4,0.6
,0.4,0.3,68.76,0.4,0.8
