frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,2.096916483951293060e+02,9.287215566331493477e+00,-4.515514109116683557e-03,3.827844447842794011e+02,1.179951860555995546e-01,nan,7.537116534299055104e+01,1.000000000000000000e+00
8.000000000000000000e+00,4.287640497103242154e+01,9.058765028188021518e+01,-1.306252239911072713e-02,1.141731128455625594e+03,1.404552106896297392e-01,nan,5.046068045074466113e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.525046863304353053e+02,5.838369135606277638e+01,-3.071524234558929093e-03,2.545628157221441938e+02,2.465653238291871663e-01,nan,4.831258741594807304e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.697736239873541138e+02,1.035045279509783853e+02,-1.271000597578460928e-02,1.110428810574847148e+03,2.058028726312222112e-02,nan,4.831258741594807304e+01,1.000000000000000000e+00
1.300000000000000000e+01,6.638488257296066308e+01,9.714538714118546636e+00,-2.900328367636439628e-02,2.557219156088826367e+03,1.094400100098946726e-02,nan,3.402133339629359909e+01,1.000000000000000000e+00
1.600000000000000000e+01,6.649850626224372263e+01,4.373568237095342681e+01,-1.660812746684343921e-02,1.456569387231426617e+03,1.424534479510841667e-02,nan,3.402133339629359909e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.348759369616451238e+02,2.729422040761631507e+01,-1.044830353893010794e-02,9.095969515591444861e+02,3.257298684626064311e-02,nan,1.882577526184810779e+01,1.000000000000000000e+00
2.300000000000000000e+01,1.339765214020937663e+02,8.489942546957877312e+00,-5.764822138793144340e-02,5.100796948755416452e+03,7.537355490017993986e-03,nan,1.882577526184810779e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.461051549019732931e+01,1.070592533303156557e+02,-1.050065508213493190e-02,9.142455992206769224e+02,2.822217034853280460e-02,nan,3.400820954642468052e+01,1.000000000000000000e+00
2.400000000000000000e+01,8.837484033730822830e+01,1.029937048836358855e+02,-1.149857020821078678e-02,1.002857233821217392e+03,2.375186876319279605e-02,nan,3.400820954642468052e+01,1.000000000000000000e+00
2.400000000000000000e+01,2.073117567313950360e+02,1.310571940743004404e+02,-1.133814469863592481e-02,9.886119676020814495e+02,2.865340251027093110e-02,nan,1.102094267641755287e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.983334381942705136e+02,1.374486707208045857e+02,-2.100580115158393393e-02,1.847068582465607506e+03,1.243598368893850115e-02,nan,1.102094267641755287e+01,1.000000000000000000e+00
2.800000000000000000e+01,3.344826959211223993e+01,4.676253669065361862e+01,-1.208349318386446603e-01,1.071157240626977909e+04,9.470525847379618334e-03,nan,2.117164116660746842e+01,1.000000000000000000e+00
3.100000000000000000e+01,2.207916534385241789e+02,9.419581117188437247e+01,-9.955081562872484038e-03,8.658004358261496236e+02,5.203805868298216897e-02,nan,2.522203378640337590e+01,1.000000000000000000e+00
3.200000000000000000e+01,3.438147902580015369e+01,1.219395050775492280e+02,-3.548958214409896755e-02,3.133181474641008208e+03,1.217371455102500555e-02,nan,4.862318956978127460e+01,1.000000000000000000e+00
3.400000000000000000e+01,8.590232699364989344e+01,1.136573713258179019e+01,-2.458919458861044335e-02,2.165262326176464740e+03,1.337987224382841678e-02,nan,4.865608516924481819e+01,1.000000000000000000e+00
3.400000000000000000e+01,3.286021356748241828e+01,4.811695126237267317e+01,-1.313576452257354116e-02,1.148234792055931848e+03,1.865624283577436149e-01,nan,1.767302367573018884e+01,1.000000000000000000e+00
3.400000000000000000e+01,1.140114230232486747e+01,6.160040801665721233e+01,-1.235521611668309767e-02,1.078924618952552237e+03,4.430836408428673323e-02,nan,2.534354642917545419e+01,1.000000000000000000e+00
3.400000000000000000e+01,9.177759182718281750e+01,9.319572083551108221e+01,-2.111374725873515872e-03,1.693046457612520044e+02,3.012192047676259810e-01,nan,1.556838021668492189e+01,1.000000000000000000e+00
3.600000000000000000e+01,1.501082787454804190e+02,1.090292563417742002e+02,-7.217888049660672704e-03,6.227465076053460962e+02,6.078429647225691568e-02,nan,4.156595659410476884e+01,1.000000000000000000e+00
3.600000000000000000e+01,1.727995720609653176e+02,6.810263115250749877e+01,-5.647726759854066435e-03,4.833212650765737521e+02,7.536129821591808220e-02,nan,3.997339942292428816e+01,1.000000000000000000e+00
3.900000000000000000e+01,6.502360994073505651e+01,7.813144499752982597e+01,-1.661120940044930744e-02,1.456843052964523849e+03,2.287157762455016563e-02,nan,3.070354952286723460e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.916680908445201510e+02,1.083145774799680936e+02,-2.769343069688609549e-03,2.277301059405519368e+02,3.584614910494017259e-01,nan,4.156595659410476884e+01,1.000000000000000000e+00
4.200000000000000000e+01,1.898596052884058167e+02,2.056533633355469348e+01,-3.280697742343886142e-02,2.894974854585477260e+03,1.158388745676297571e-02,nan,3.931538482515937716e+01,1.000000000000000000e+00
