frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,4.696902471947468882e+01,5.795778633233566346e+00,-4.375689252916764235e-03,3.573701899783771978e+02,9.379963984340600192e-02,nan,1.854917133003320373e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.995857380353851056e+02,8.709876833625083137e+00,-9.883832949789360389e-03,9.075163955671930580e+02,2.937555127569102531e-02,nan,1.142595657436035950e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.482027880846192716e+02,1.107137045317606727e+01,-9.096377358159409357e-03,8.288663585227919839e+02,3.459413262147403856e-02,nan,1.700400283006217705e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.379747316897627485e+01,1.359802701516767165e+01,-1.119629443736807999e-02,1.038603336487570004e+03,1.250727221124868782e-01,nan,1.854917133003320373e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.821462836832992878e+02,1.353788346227013939e+01,-2.427248429323575728e-03,1.627624627829598580e+02,3.065323151047604222e-01,nan,1.557077373558010436e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.472405813917056889e+02,2.804812722603686126e+01,-8.248827538168074583e-03,7.442141883587387383e+02,5.402117080039392505e-02,nan,3.089387189956423807e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.886239024191247040e+02,3.863979455626684967e+01,-2.654180138088739569e-03,1.854281057609790651e+02,2.685711512868700357e-01,nan,1.073857379655577660e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.841162067510566658e+02,4.838646819131562893e+01,-8.187834992486670710e-03,7.381223324772593060e+02,6.119662181802743017e-02,nan,5.623956616509038220e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.254774553906575250e+02,5.623163207214350479e+01,-1.245174417322155412e-02,1.163996018032792563e+03,1.971987553116660852e-02,nan,1.548313397835696748e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.370177783727246776e+02,6.655385970290832631e+01,-1.295724337847244979e-02,1.214484619093589117e+03,2.631346470173978602e-02,nan,1.548313397835696748e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.160185205925769480e+01,6.904073173476805891e+01,-8.229759423496929918e-03,7.423096899448685235e+02,3.815998297386657967e-02,nan,2.455060904354678541e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.839077910294903972e+01,7.575527978606672264e+01,-8.044129136251845433e-03,7.237691790594628856e+02,4.015229821418875300e-02,nan,7.295177762164930080e+00,1.000000000000000000e+00
5.000000000000000000e+00,7.031227681338218360e+01,1.052983830676442096e+02,-1.157546664902639119e-02,1.076474562255877117e+03,3.119770698432600131e-02,nan,4.754418850845627098e+00,1.000000000000000000e+00
5.000000000000000000e+00,2.010153774142604846e+02,1.047899423955482803e+02,-3.390677178509240736e-03,2.589884691997150981e+02,2.141664177262878610e-01,nan,9.091298227836729140e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.097628222395426150e+02,1.111688921736000992e+02,-1.002544192266784789e-02,9.216601150113067433e+02,3.253863570856918574e-02,nan,1.474234525443621102e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.136495147072806162e+02,1.253896644895549031e+02,-9.324920994819529269e-03,8.516929987557659842e+02,4.025483014007280591e-02,nan,1.474234525443621102e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.807732610205611081e+02,1.353537493372633662e+02,-1.172632016535178623e-02,1.091541614637474822e+03,1.457023235722830767e-01,nan,6.497596685639654090e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.835165600981454190e+02,1.412438319224365557e+02,-1.363504852335037029e-02,1.282182912584894666e+03,1.251980638077243579e-01,nan,5.479337255094569592e+00,1.000000000000000000e+00
5.000000000000000000e+00,2.237169067727979268e+02,1.460603872916929902e+02,-1.158588083830344728e-02,1.077514717892758654e+03,2.275653188421178363e-02,nan,2.315919937100472481e+01,1.000000000000000000e+00
5.000000000000000000e+00,4.643392043228396204e+01,1.501260332075757731e+02,-6.062286487790105247e-03,5.258253211778381910e+02,5.270236567133534944e-02,nan,7.964658911628715643e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.162141272921449797e+02,2.806727618331553487e+01,-1.192388726563152652e-02,1.111274358833999031e+03,2.123354064413074394e-02,nan,1.922848073402460045e+01,1.000000000000000000e+00
6.000000000000000000e+00,6.336292356913101287e+01,5.214498427085751331e+01,-7.076761558258661509e-03,6.271497675606740358e+02,3.405418787269651748e-01,nan,6.346401213968186461e+00,1.000000000000000000e+00
6.000000000000000000e+00,3.765143053377605753e+01,1.086570040244200470e+02,-1.108787413580217610e-02,1.027774458230609753e+03,5.075783833525571165e-02,nan,8.427127346738519265e+00,1.000000000000000000e+00
6.000000000000000000e+00,4.642387529948110370e+01,1.207218289798792483e+02,-1.227302882483691238e-02,1.146146162218370364e+03,2.937304570812071525e-02,nan,9.914563037665853784e+00,1.000000000000000000e+00
7.000000000000000000e+00,8.753629702830825465e+01,2.154299342367944448e+01,-1.251361184858415521e-02,1.170175280724987942e+03,2.340404847834665070e-02,nan,1.249072799967979996e+01,1.000000000000000000e+00
7.000000000000000000e+00,4.818122014963606858e+01,7.186366017342209034e+01,-1.075764038314420967e-02,9.947911418938757606e+02,2.935582706102513040e-02,nan,1.060168195083091724e+01,1.000000000000000000e+00
7.000000000000000000e+00,3.125144162609411680e+01,1.141393955919475189e+02,-1.002328898255076643e-02,9.214450821615020004e+02,6.958951978736904742e-02,nan,8.427127346738519265e+00,1.000000000000000000e+00
7.000000000000000000e+00,2.506805367221700109e+01,1.495773958767141494e+02,-1.190368314356671231e-02,1.109256397483876299e+03,3.253469797864139146e-02,nan,1.506678893832757105e+01,1.000000000000000000e+00
7.000000000000000000e+00,2.533492796076532727e+01,5.312344939193254234e+00,-3.154777687467211298e-03,2.354271358287663531e+02,3.738384763973416902e-01,nan,6.649489430226784847e+00,1.000000000000000000e+00
7.000000000000000000e+00,6.889276689330445436e+01,4.073348908692355508e+01,-3.762405339324221415e-03,2.961161928825566179e+02,2.113419172140174052e-01,nan,9.242205907142697185e+00,1.000000000000000000e+00
7.000000000000000000e+00,5.807530434663810581e+01,4.178214669432310302e+01,-3.693916136722280412e-03,2.892755806892590726e+02,1.319589867685035944e-01,nan,1.086817274090203966e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.813201205788357129e+01,7.926446979733310627e+01,-4.357337070931794482e-03,3.555371979870755013e+02,1.111733584912214523e-01,nan,1.035403467337608951e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.332938775191757088e+02,3.689997698890149991e+01,-3.481124814212934425e-03,2.680222610405341470e+02,1.655780723625954742e-01,nan,1.529767308333587295e+01,1.000000000000000000e+00
8.000000000000000000e+00,8.927240191379009104e+01,9.348057761048630709e+01,-1.264454365078455933e-02,1.183252578293015404e+03,2.128445729778494222e-02,nan,1.764046064879796560e+01,1.000000000000000000e+00
8.000000000000000000e+00,2.404768818113733531e+01,6.972292747313981920e+01,-1.277540482046237921e-02,1.196322821176846219e+03,2.236088802583036106e-02,nan,6.511125338235292936e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.529187350409084445e+02,7.136704619305369590e+01,-7.581257241560187751e-03,6.775381381585319787e+02,3.911857101138904724e-02,nan,1.661346403229548230e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.201797108094001061e+02,8.974638722445077121e+01,-1.321458720994713766e-02,1.240187785207042452e+03,1.840885205510445211e-02,nan,2.264755032631680720e+01,1.000000000000000000e+00
8.000000000000000000e+00,9.074082955139989792e+01,3.391149201411293745e+01,-1.228334846024006603e-02,1.147176873937697565e+03,2.262090443786979321e-02,nan,9.564146071174725705e+00,1.000000000000000000e+00
8.000000000000000000e+00,9.134192118688379480e+01,1.598731434243856881e+02,-1.158689676874922851e-02,1.077616187700128876e+03,3.167194235382486678e-02,nan,2.231034946094608529e+01,1.000000000000000000e+00
9.000000000000000000e+00,2.001614037081863842e+02,4.818914176953410333e+01,-6.323396984173505937e-03,5.519046968677463383e+02,7.449569827461344218e-02,nan,1.497678096904121148e+01,1.000000000000000000e+00
9.000000000000000000e+00,6.932340510685298796e+01,4.996565680415308464e+01,-1.239970291550017770e-02,1.158798205113398126e+03,4.229878681194687573e-02,nan,6.346401213968186461e+00,1.000000000000000000e+00
