frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,6.119511599351439202e+01,1.847096580502829966e+01,-8.669698420579081966e-03,7.988404258597377066e+02,3.026716797982176299e-02,nan,1.927585891894408832e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.897909620980482828e+02,2.432093757472912898e+01,-8.818177213720938476e-03,8.129427045923576998e+02,5.653821740055786638e-02,nan,6.802406379014882098e+00,1.000000000000000000e+00
5.000000000000000000e+00,2.114131218101581453e+02,2.555626979868477022e+01,-4.854903171784048614e-03,4.365172632853739856e+02,7.668976677678995824e-02,nan,1.302846904928084548e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.072064358909827746e+02,3.165786258637889006e+01,-1.109704124707432474e-02,1.029385572372057140e+03,3.147171404555115792e-02,nan,9.146431597740852126e+00,1.000000000000000000e+00
5.000000000000000000e+00,6.232412805727063443e+01,3.771373246741157459e+01,-6.664265496559439346e-03,6.083676083235766328e+02,7.513577447374997220e-02,nan,1.927585891894408832e+01,1.000000000000000000e+00
5.000000000000000000e+00,3.013138576828368187e+01,6.073500094396748494e+01,-1.221242310772552297e-02,1.135322760837642818e+03,7.718956151077072114e-02,nan,4.878391153499454624e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.402148751702574145e+02,6.333748691313033419e+01,-2.631799787659656019e-03,2.253704529499712805e+02,2.722177661464997289e-01,nan,2.219265457180768308e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.054802065366701243e+02,7.731408551690164188e+01,-4.925803432996997931e-03,4.432512569061688623e+02,1.088108298965315690e-01,nan,1.046560146042525652e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.397475553842645866e+02,8.552522066764424835e+01,-1.319252580754583237e-02,1.228411350574860307e+03,1.968604838825893655e-02,nan,2.219265457180768308e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.039901915650185344e+02,8.767307529934227261e+01,-1.029294166799605767e-02,9.530134780615229602e+02,3.919381116705011880e-02,nan,1.046560146042525652e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.395517879156761509e+01,9.236402949574582522e+01,-1.235828560133750073e-02,1.149176547617724509e+03,1.899634599636979004e-02,nan,9.874227240619708468e+00,1.000000000000000000e+00
