frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
8.000000000000000000e+00,5.926532545906160188e+00,3.432192190516934005e+01,-5.812154773725526288e-03,4.979219407277842606e+02,6.926869859484197089e-02,nan,7.602121316692725372e+01,1.000000000000000000e+00
8.000000000000000000e+00,2.066350411630274948e+02,1.408312939778469683e+02,-7.059789380185211780e-03,6.087078572589174428e+02,4.985893856216916387e-02,nan,1.289856991394884034e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.264251663522503577e+01,1.295896529564869866e+02,-1.471898891203677999e-02,1.288819995570640685e+03,1.366254708856118327e-02,nan,6.769984272531493730e+01,1.000000000000000000e+00
1.000000000000000000e+01,7.515120420095954046e+01,6.574117851033810211e+01,-6.306529164970084422e-03,5.418207872009236326e+02,6.609660930706340309e-02,nan,4.018229857003287719e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.814871229684521836e+02,4.839967393231554560e+00,-1.139842549518437637e-02,9.939647073066952316e+02,2.756628074581846111e-02,nan,8.127549215394228099e+01,1.000000000000000000e+00
1.600000000000000000e+01,3.037676112404439976e+01,4.838814352567857213e+01,-4.060237998399328016e-03,3.423573991257140960e+02,1.213713036392178868e-01,nan,2.763734933619874212e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.776970957897991354e+01,4.472079390008640587e+01,-2.841102616292313053e-03,2.341021215124097807e+02,2.580405130918766998e-01,nan,2.763734933619874212e+01,1.000000000000000000e+00
2.200000000000000000e+01,3.554035309093145401e+01,9.056222780904136016e+01,-3.059111839557140597e-03,2.534606352043068114e+02,1.600532238308234323e-01,nan,4.428243283703313438e+01,1.000000000000000000e+00
2.300000000000000000e+01,2.802356644882312509e+01,1.558145404101921372e+02,-6.038239744604882026e-03,5.179975546800599204e+02,6.702603983884869443e-02,nan,2.517643282507078339e+01,1.000000000000000000e+00
2.600000000000000000e+01,6.071308393082333765e+01,1.269939101752004404e+02,-1.238089045474369612e-02,1.081204417107113386e+03,2.416386717376206583e-02,nan,4.358019367038328085e+01,1.000000000000000000e+00
2.700000000000000000e+01,2.251648501558080113e+02,2.535067386529797773e+01,-4.505299327510641633e-02,3.982381442185300784e+03,1.014800588489794819e-02,nan,5.328826054930858191e+01,1.000000000000000000e+00
2.700000000000000000e+01,6.296325292018669195e+00,1.430952730763649186e+02,-1.210174858447181194e-02,1.056417522145904513e+03,2.600287995959116305e-02,nan,2.517643282507078339e+01,1.000000000000000000e+00
3.000000000000000000e+01,1.728292041770917251e+02,3.538156975556993444e+01,-1.441770936539223946e-01,1.278428085563028799e+04,8.954746940153746060e-03,nan,5.328826054930858191e+01,1.000000000000000000e+00
3.200000000000000000e+01,2.132337091185162876e+02,1.003616956100901092e+02,-1.407599709749763131e-02,1.231724402736876527e+03,1.629207601031668062e-02,nan,7.595396967670237132e+01,1.000000000000000000e+00
3.300000000000000000e+01,1.219190687697832516e+02,9.450923936772836953e+01,-5.147986747712071307e-03,4.389459688273513507e+02,8.280973279895165184e-02,nan,4.797988137626931149e+01,1.000000000000000000e+00
3.500000000000000000e+01,7.647341641427065895e+01,1.098963020784203479e+02,-5.382985508900262062e-03,4.598130985199067595e+02,7.499497202157867637e-02,nan,4.797988137626931149e+01,1.000000000000000000e+00
3.800000000000000000e+01,5.757651791780352823e+01,4.683712972419395015e+01,-2.622602022129391121e-03,2.146999756745140360e+02,2.504515891735531463e-01,nan,5.899166326066943355e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.144140258632117906e+02,3.104111678371214467e+01,-5.825981662925617220e-03,4.991497237540608580e+02,8.344502531649578003e-02,nan,5.899166326066943355e+01,1.000000000000000000e+00
4.100000000000000000e+01,2.260355788505070507e+02,3.579267932822251908e+01,-6.036754836790814670e-03,5.178656996703527966e+02,6.954718653239289061e-02,nan,1.117226406683531508e+02,1.000000000000000000e+00
4.600000000000000000e+01,3.552568847852792544e+01,7.683638120775989933e+01,-1.166655695382068543e-02,1.017773913337093177e+03,1.735130321398037356e-02,nan,8.307918149317883660e+01,1.000000000000000000e+00
4.800000000000000000e+01,1.985408474454960412e+02,6.469028540599454402e+01,-1.061458514498051127e-02,9.243622201988438292e+02,2.106416922286813431e-02,nan,3.691577356277349509e+01,1.000000000000000000e+00
5.000000000000000000e+01,9.573471006016274032e+01,1.340816789863441443e+02,-9.000542045466519703e-02,7.974011539332146640e+03,6.918657569864539170e-03,nan,2.114683274843624616e+01,1.000000000000000000e+00
5.200000000000000000e+01,1.755823309009315096e+02,3.578214025949780108e+01,-6.022067923839329560e-03,5.165615493174218500e+02,1.377230391548941446e-01,nan,3.691577356277349509e+01,1.000000000000000000e+00
5.300000000000000000e+01,7.337128812539373435e+00,1.364950271482171615e+02,-1.210279671822295580e-02,1.056510593031936878e+03,2.038082862322720956e-02,nan,5.101286435389822316e+01,1.000000000000000000e+00
5.300000000000000000e+01,1.279970245578500254e+02,9.406780363050307869e+01,-5.839700502678367433e-03,5.003679123389903793e+02,5.259897050288819820e-02,nan,3.093596624649001114e+01,1.000000000000000000e+00
5.400000000000000000e+01,1.119647171756033970e+02,1.205253002544304763e+02,-2.032451557425477961e-03,1.622965237463714914e+02,3.535792653234184346e-01,nan,2.114683274843624616e+01,1.000000000000000000e+00
5.600000000000000000e+01,1.601224324838757127e+02,1.543863008323966142e+02,-5.755852848172701881e-03,4.929225118945805661e+02,7.890441797361713583e-02,nan,5.887047565506523483e+01,1.000000000000000000e+00
5.800000000000000000e+01,5.530569280453607206e+01,1.538538634610273448e+02,-7.244961679578413791e-03,6.251505583496362988e+02,4.072311827892727276e-02,nan,3.667589942089812638e+01,1.000000000000000000e+00
6.200000000000000000e+01,2.038491126695653861e+02,8.503177215467499650e+01,-5.963699112135733248e-03,5.113785876811095932e+02,6.436510470563172603e-02,nan,4.714611423211626828e+01,1.000000000000000000e+00
6.400000000000000000e+01,1.039117106467914908e+02,1.953214748145241941e+01,-2.100908342175918531e-03,1.683752647512180260e+02,3.149915808342143020e-01,nan,9.300760069821203047e+01,1.000000000000000000e+00
6.500000000000000000e+01,1.269136150552497782e+02,1.130170092068056817e+02,-3.583992880535308290e-02,3.164291124669710825e+03,6.830127041715594594e-03,nan,4.668595675645887866e+01,1.000000000000000000e+00
6.500000000000000000e+01,1.949142982375852000e+02,3.874003230560651900e+01,-4.322916022469507590e-03,3.656823578103562227e+02,1.104471543892519003e-01,nan,4.714611423211626828e+01,1.000000000000000000e+00
7.800000000000000000e+01,1.871176530394045869e+02,1.364455467747117439e+02,-2.991292538996945596e-03,2.474385007330757844e+02,1.976265806901392752e-01,nan,2.718809787292088487e+01,1.000000000000000000e+00
7.800000000000000000e+01,5.832908120012680087e+01,4.609190966018078228e+01,-2.104074696721131357e-03,1.686564267905985446e+02,3.594905502791297947e-01,nan,4.247877485444112722e+01,1.000000000000000000e+00
7.900000000000000000e+01,1.097547778871771982e+02,6.597153332899370071e+01,-7.155716434603426324e-02,6.335866083271654134e+03,6.478624862307547083e-03,nan,5.483647545042988725e+01,1.000000000000000000e+00
7.900000000000000000e+01,1.756528987676193481e+02,1.117929186098464953e+02,-5.490465647230971004e-03,4.693569870688537549e+02,8.735305231145862326e-02,nan,2.718809787292088487e+01,1.000000000000000000e+00
8.200000000000000000e+01,7.252954077458191762e+01,6.057009123167254039e+00,-1.066343858622268576e-01,9.450609867162158480e+03,1.124380437773986330e-02,nan,4.247877485444112722e+01,1.000000000000000000e+00
8.400000000000000000e+01,5.847828018912836967e+01,4.653548888451906862e+01,2.493816021771375329e-03,-2.032641955092556714e+02,2.747432742276698647e-01,nan,4.284793166338941006e+01,1.000000000000000000e+00
8.700000000000000000e+01,2.856370371258620722e+01,1.224325885449815416e+02,-6.152313857592160880e-03,5.281269668447584991e+02,5.218102766658827552e-02,nan,4.573177543119030730e+01,1.000000000000000000e+00
8.700000000000000000e+01,1.017030487923886817e+01,8.056281229234032537e+01,-4.345128007240052492e-03,3.676547101946517273e+02,1.208791745580189980e-01,nan,4.573177543119030730e+01,1.000000000000000000e+00
8.800000000000000000e+01,1.753899207496157260e+02,6.698203771684939056e+01,-1.831895139741396283e-02,1.608485017168528429e+03,1.458992288630556189e-02,nan,5.177103573537172565e+01,1.000000000000000000e+00
9.000000000000000000e+01,1.468343692436315848e+02,2.379846885898143327e+01,-1.675031479543815163e-02,1.469195161986246603e+03,1.168762572812265255e-02,nan,5.177103573537172565e+01,1.000000000000000000e+00
9.100000000000000000e+01,1.593707899746761996e+02,1.436489629844466265e+02,-1.217950524226174731e-02,1.063322061788404426e+03,2.549471716432472057e-02,nan,4.366326198871587394e+01,1.000000000000000000e+00
9.300000000000000000e+01,2.082542943640076061e+01,4.072628425948450825e+01,-1.202844025736075385e-02,1.049907979875825731e+03,2.544966341681054178e-02,nan,1.271408818813831942e+02,1.000000000000000000e+00
9.900000000000000000e+01,3.900133195919185169e+01,1.205755242069132862e+02,-1.604388717854135157e-02,1.406466675139528888e+03,1.677614936186067052e-02,nan,1.156021524709159820e+02,1.000000000000000000e+00
1.000000000000000000e+02,1.718308257130506433e+02,3.425117658412868593e+01,1.901835266640812235e-03,-1.506982197128389203e+02,3.746752981986263276e-01,nan,4.745889287753743702e+01,1.000000000000000000e+00
1.050000000000000000e+02,1.673557082859761067e+02,8.149860865377102925e+01,-1.192810922823091778e-02,1.040998909094115334e+03,2.314287541463944109e-02,nan,4.745889287753743702e+01,1.000000000000000000e+00
1.060000000000000000e+02,2.018076027556952567e+01,1.368669266916189713e+02,-1.958721464975867257e-02,1.721102690713562879e+03,1.377533252443030598e-02,nan,1.572454004548500563e+02,1.000000000000000000e+00
1.060000000000000000e+02,1.862387566966525299e+02,2.990904515723556401e+01,-5.986064890400310916e-03,5.133645964301009599e+02,7.199370639992763721e-02,nan,5.493680532250681381e+01,1.000000000000000000e+00
1.110000000000000000e+02,1.999797396884783325e+02,1.058591160871716284e+02,-1.200319336334992187e-01,1.064026876362529583e+04,6.400214520816294161e-03,nan,7.718308032103904281e+01,1.000000000000000000e+00
1.150000000000000000e+02,6.879834724117365852e+01,1.169067421611547388e+02,-8.999247728132594298e-03,7.809254837489462489e+02,2.500754389612247497e-02,nan,9.617316895166632662e+01,1.000000000000000000e+00
1.160000000000000000e+02,8.050388088543995480e+01,2.144858950613681969e+01,-5.970327722661635493e-03,5.119671868499991660e+02,6.650323250978196210e-02,nan,2.020820641980025201e+01,1.000000000000000000e+00
