frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,5.102116106975979903e+01,5.604662045434985806e+00,-4.875951578586200548e-03,3.869647283722235898e+02,1.450957834738205721e-01,nan,2.423803759664285806e+01,1.000000000000000000e+00
5.000000000000000000e+00,8.752182673000925206e+01,7.805517319429523759e+00,-1.408447793337354662e-02,1.195732324193738123e+03,4.410115985868301447e-02,nan,2.039289469517359166e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.496778565571030839e+01,1.035721177083449973e+01,-8.993304447639769578e-03,7.485841072777390082e+02,4.247677848492537045e-02,nan,2.017146074727514460e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.737006203943283822e+02,1.530711901526665919e+01,-2.592369821221084808e-02,2.235548832547282018e+03,1.716682345671183274e-02,nan,8.936101023854398306e+00,1.000000000000000000e+00
5.000000000000000000e+00,2.123407652092183469e+02,2.309391449896921600e+01,-4.929040883279385554e-02,4.287803193641781945e+03,9.702018714022320189e-03,nan,1.137497667641975774e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.738021682812092195e+01,2.348939747068252970e+01,-3.514590265808282404e-02,3.045517749450556039e+03,1.248795016495751753e-02,nan,1.124678320336431803e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.418739025423552107e+02,2.501483669786957620e+01,-1.281265982352711684e-02,1.084030925360470292e+03,1.381372194576218071e-01,nan,6.947689208632215951e+00,1.000000000000000000e+00
5.000000000000000000e+00,6.839210674959349490e+01,3.485220980190104001e+01,-5.037275975920867468e-03,4.011335475679119327e+02,1.433264550427995054e-01,nan,1.140777915668379272e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.183707725414971605e+02,4.281778379202057039e+01,-2.582520196224843273e-02,2.226898091678399851e+03,1.499936024849879423e-02,nan,2.187435624168983495e+01,1.000000000000000000e+00
5.000000000000000000e+00,3.580417514884587149e+01,4.540741384765152588e+01,-5.893293782004373552e-03,4.763159857054365602e+02,1.603209055859944332e-01,nan,6.280603940693945120e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.575383249432422161e+01,5.547431188254083168e+01,-5.210146122521125758e-03,4.163164082633714429e+02,1.247239383302457538e-01,nan,1.960097567195859014e+01,1.000000000000000000e+00
