frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,7.214564501661725160e+01,1.305350810278653384e+01,-7.592305131559949280e-03,6.559935331113382517e+02,5.845297724952802643e-02,nan,2.539121835853434561e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.168288409965237804e+02,3.912128635230556739e+01,-9.220044713802168571e-03,8.005315417230248158e+02,3.327716039328298958e-02,nan,1.486480379733333379e+01,1.000000000000000000e+00
5.000000000000000000e+00,8.735458065766017910e+01,6.543966287355011957e+01,-1.535205559415683471e-02,1.345034268756770189e+03,5.474609943177410898e-02,nan,7.553574181994482828e+00,1.000000000000000000e+00
5.000000000000000000e+00,6.018420757243844399e+00,7.129701171886772215e+01,-9.142706899555090583e-03,7.936641940320291724e+02,3.547799700710041471e-02,nan,2.605748933802968281e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.832689730398259087e+01,9.100212441498619853e+01,-2.514039029476070400e-02,2.214206721576942073e+03,1.235390497370791874e-02,nan,1.463620475204774074e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.607863557573818269e+01,9.533416688347232082e+01,-2.622288390077024463e-03,2.146721261629703008e+02,2.987028805993714453e-01,nan,1.132913228358404112e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.068323980048693222e+01,1.123507319590675309e+02,-8.447559695390169376e-03,7.319373713399287453e+02,4.264887590068078271e-02,nan,1.785143642801793362e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.590621274257387938e+02,1.136260437549832432e+02,-9.964396912063482395e-03,8.666276086959859413e+02,3.510293486826976395e-02,nan,1.736326003611241120e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.302370314781558136e+02,1.211561463213131447e+02,-1.341833348658978339e-02,1.173326001853825346e+03,4.360466715799293791e-02,nan,1.348446328349109180e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.188774762398825544e+02,1.342215185856326798e+02,-1.047710418696048799e-02,9.121543559243458503e+02,1.081030642094040761e-01,nan,1.132948783237126378e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.763448758759102475e+02,1.482831365773226651e+02,-1.990624232185049872e-02,1.749431315832241580e+03,1.553288526052909457e-02,nan,1.012674207265916770e+01,1.000000000000000000e+00
5.000000000000000000e+00,3.219153439074514722e+01,1.510851491829261874e+02,-9.946577583765419533e-03,8.650453099947084183e+02,5.356325971511266548e-02,nan,7.272022372740781115e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.813301680451091329e+02,2.792649983882121845e+01,2.789901300630633248e-03,-2.295556103353311528e+02,2.162344540953853311e-01,nan,5.988984678367663683e+00,1.000000000000000000e+00
6.000000000000000000e+00,4.355635900413071226e+01,4.151947582843938278e+01,-1.357682915039980405e-02,1.187399904012750994e+03,2.247317916460752629e-01,nan,2.158471218929376789e+01,1.000000000000000000e+00
6.000000000000000000e+00,7.907697704492825608e+01,8.106963856766809329e+01,-1.360676017533534593e-02,1.190057682189976958e+03,2.867909113533417820e-02,nan,1.093420971853783108e+01,1.000000000000000000e+00
6.000000000000000000e+00,2.126633727607671744e+02,8.523443871138358929e+01,-3.960482832714647822e-02,3.498602021473922377e+03,1.110640917661354088e-02,nan,1.517196936079598224e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.873122578535144100e+02,2.821379585671277113e+01,-2.899112404946742067e-03,2.392532030635176739e+02,3.253180980401009226e-01,nan,5.988984678367663683e+00,1.000000000000000000e+00
6.000000000000000000e+00,2.114317659488789616e+02,1.256822743095686832e+02,-3.765347918400312448e-03,3.161721140915531123e+02,2.300627121427033517e-01,nan,1.132948783237126378e+01,1.000000000000000000e+00
7.000000000000000000e+00,2.088492466048626852e+02,8.225151768919038986e+00,-1.232684392481006586e-02,1.076405260107922004e+03,2.738069852373992141e-02,nan,1.548233558906899709e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.871267543063670189e+02,1.614073638974777936e+01,-5.601354457246712944e-03,4.792035546352188931e+02,1.596984711346085550e-01,nan,7.869597152758955438e+00,1.000000000000000000e+00
7.000000000000000000e+00,2.143450312913172695e+02,1.003129226826440998e+02,-1.172933046991238813e-02,1.023347998472351833e+03,2.663285587049568637e-02,nan,1.517196936079598224e+01,1.000000000000000000e+00
7.000000000000000000e+00,9.514159920905825629e+01,1.257582418008712892e+02,-1.262839030611105640e-02,1.103181603162298643e+03,2.650805224841301655e-02,nan,2.355545444998038107e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.187417020606704483e+02,1.141071640098503792e+02,-9.560316355323129553e-03,8.307465625955409223e+02,5.094068090104175717e-02,nan,1.348446328349109180e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.776437290350182536e+02,1.382400351899403574e+02,-1.306808610525520345e-02,1.142225167560772661e+03,2.138389638485405086e-02,nan,1.012674207265916770e+01,1.000000000000000000e+00
8.000000000000000000e+00,9.888753680689829650e+01,1.328458612730831234e+01,-1.300804670176378998e-02,1.136893862778635139e+03,1.970623295737472525e-02,nan,1.721923490813008328e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.137221296271413422e+02,2.202740642049512232e+01,-1.271419740336328028e-02,1.110800995783138887e+03,1.704722009248440528e-01,nan,1.721923490813008328e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.949067066946030877e+02,1.495629551596312901e+01,-1.285789084786644575e-02,1.123560508757832167e+03,3.171050651529416786e-02,nan,7.869597152758955438e+00,1.000000000000000000e+00
8.000000000000000000e+00,5.680215322255867960e+01,6.528092433310874299e+01,2.118923539158774037e-03,-1.699749559580033065e+02,3.210832255911926225e-01,nan,9.822690430266234785e+00,1.000000000000000000e+00
8.000000000000000000e+00,2.692234940472965476e+01,9.205344917329284726e+01,-1.339634515151490873e-02,1.171373508838922362e+03,2.931335591558614784e-02,nan,1.132913228358404112e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.672417867763408594e+02,1.111848228440556596e+01,-2.056439068189856723e-03,1.644265370944887366e+02,3.321519726188207899e-01,nan,2.050938736210375879e+01,1.000000000000000000e+00
9.000000000000000000e+00,8.637765595342816027e+01,7.292979645347743656e+01,-2.581223410696015935e-02,2.273864278456911507e+03,1.835971085344689779e-02,nan,7.553574181994482828e+00,1.000000000000000000e+00
9.000000000000000000e+00,7.300840021381976896e+01,1.176971664022489392e+02,-1.412726291711824747e-02,1.236276641656816309e+03,3.641085316153269691e-02,nan,1.031620499306412775e+01,1.000000000000000000e+00
9.000000000000000000e+00,9.956771751691321981e+01,1.556142258177507358e+02,-2.288025415096402171e-02,2.013513944317282721e+03,1.174379178797191337e-02,nan,2.245653305956828305e+01,1.000000000000000000e+00
9.000000000000000000e+00,6.832146801742455011e+01,1.268872018779865130e+02,-1.407970357206235479e-02,1.232053525686517560e+03,8.880354710661408912e-02,nan,1.031620499306412775e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.411155796731270868e+02,1.407787604632124498e+02,-1.417018198541795775e-02,1.240087716064040478e+03,2.362490004141553079e-01,nan,4.011769569649175970e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.395065553660289481e+02,1.444537211241080854e+02,1.349587595838567036e-02,-1.180211522473018249e+03,2.563910864520216881e-01,nan,4.011769569649175970e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.278658759833662941e+02,3.737484984548617462e+01,-2.037671107368735444e-03,1.627600028943126347e+02,3.717280388458045204e-01,nan,7.695487872827599496e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.754976239816453756e+02,6.928987757664853575e+01,-2.024532267083896993e-03,1.615933163856380759e+02,3.713020846998437152e-01,nan,6.277679931456073170e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.265607004796939634e+02,9.732949447909557250e+01,-1.223722794456725063e-02,1.068447651000549740e+03,2.433929895830599932e-02,nan,1.605686893198010168e+01,1.000000000000000000e+00
1.000000000000000000e+01,6.473224928745280238e+01,3.733839092098390466e+01,-1.143016472039698472e-02,9.967830478183814193e+02,3.581050944218056031e-02,nan,1.692849302235607567e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.689035511260352109e+02,9.932117819696759398e+01,-2.627087237421728283e-02,2.314589872738487884e+03,1.508519575063005380e-02,nan,1.193300618892894782e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.134374701729130663e+01,1.462809133522056300e+02,-2.423733370558257480e-02,2.134018218153275029e+03,2.307751791298995325e-02,nan,1.187221710280500098e+01,1.000000000000000000e+00
1.000000000000000000e+01,2.023056761493339195e+02,4.228989405200021423e+01,2.258706044544861805e-03,-1.823871901923189114e+02,2.473407038438375505e-01,nan,1.486480379733333379e+01,1.000000000000000000e+00
1.100000000000000000e+01,2.222487832970666375e+02,1.159338267606150765e+02,-1.281377261262937536e-02,1.119642952206283326e+03,2.243783625132056425e-02,nan,1.454724879154993467e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.512646346443026175e+02,6.012622070388401596e+01,-2.546804345834347005e-03,2.079693872507887704e+02,2.735957906443655663e-01,nan,4.971899556193231540e+00,1.000000000000000000e+00
1.100000000000000000e+01,8.010443746748399008e+01,5.291096652156728197e+01,3.273348111251106994e-03,-2.724841230034934938e+02,3.048901644751597084e-01,nan,2.097872307875609366e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.579435925173024202e+02,7.934445042231632783e+01,-2.286170028218652804e-03,1.848259030872191317e+02,3.532741747026730827e-01,nan,1.708168340737315205e+01,1.000000000000000000e+00
1.200000000000000000e+01,2.034346033774684770e+02,1.233566997929403470e+02,-2.630121836601609017e-02,2.317284498630612688e+03,9.152224080814619356e-03,nan,1.623149589290517625e+01,1.000000000000000000e+00
1.200000000000000000e+01,7.246894328408060915e+01,1.507508453596495315e+02,-1.367631263666504657e-02,1.196233715730175163e+03,2.530845790489488767e-02,nan,7.413360890305265904e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.697153033909559952e+02,1.112265423226637324e+02,-1.273245962338880044e-02,1.112422621836909002e+03,2.728856336403773231e-02,nan,1.193300618892894782e+01,1.000000000000000000e+00
1.200000000000000000e+01,7.807623174337628313e+01,8.871871244126843692e+00,-1.353902535033512516e-02,1.184043048875164459e+03,1.602512711328132333e-01,nan,7.195767542784154536e+00,1.000000000000000000e+00
